Nom,Type,Mentorat / coaching ,Incubation & accélération ,Formation & développement de compétences ,Réseautage & communauté ,Conseils techniques ou sectoriels ,Support administratif / réglementaire ,Support au marketing / commercialisation / accès au marché ,Support technologique / numérique ,ade,Accès aux infrastructures ou ressources physiques ,Soutien à l’innovation et recherche/développement (R&D),Soutien global de croissance & planification stratégique ,Type_organisation,OBNL?,Pallier Gouvernement,Localisation,Geographie,Site,Secteur,Modalite,Services,Public cible,Contacts,Autres,Onglet,Nombre d'entrées,Remarques,Geographie2
Canada Digital Adoption Program (CDAP),Transformation numérique / Coaching,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fédéral,FALSE,Fédéral,Canada (national),Canada,https://cdaprogram.ca/,Multi‑sectoriel,Inscription en ligne (selon cycles),"Diagnostic numérique, plan, subventions",PME,Voir site,Vise adoption e‑commerce et outils numériques,,,,Canada
CanExport SMEs,Export / Accompagnement à l'international,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fédéral (GOC),FALSE,Fédéral,Canada (national),Canada,https://www.tradecommissioner.gc.ca/en/our-solutions/funding-financing-international-business/canexport-smes.html,Multi,Appels périodiques,"Financement export, études de marché, missions",PME souhaitant exporter,tradecommissioner.gc.ca,Intakes périodiques,,,,Canada
CEIM (Centech),Incubateur / accélérateur technologique,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL,TRUE,,,,https://www.ceim.org,"Technologies propres, numériques, jeu vidéo",Admission par appel de projets,"Services-conseils (recherche financement, marché, export, commercialisation)[12], réseau d’investisseurs, espace de coworking",PME technologiques,"33, Rue Prince, Montréal (QC) H3C 2M7<br>514-866-0575",Fondé en 1996; fort accent sur tech & industries créatives,,,,Montréal (Vieux-Mtl)
CENTECH,Incubation & Accélération,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL,TRUE,,Montréal,Montréal,https://centech.co,"Technologie, deeptech",Programme Accélération ou Propulsion,"Mentorat, financement, espace de travail",Startups technologiques,info@centech.co,Partenaire avec ÉTS,,,,Montréal
Centre de développement bioalimentaire du Québec (CDBQ),Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL,TRUE,,La Pocatière,La Pocatière,https://cdbq.net,Agroalimentaire,Sélection par projet,"Laboratoires, expertise technique",Entreprises agroalimentaires,info@cdbq.net,Expertise en transformation alimentaire,,,,La Pocatière
Centre d'entrepreneuriat - ESG UQAM,Formation / Accompagnement,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Université (UQAM),FALSE,,Montréal,Montréal,https://centreentrepreneuriat.esg.uqam.ca/,Multi,Inscription en ligne; services campus,"Rencontres personnalisées, ateliers, soutien",Étudiants et entrepreneurs,Voir site,Nouveau pavillon entrepreneurship (2025),,,,Montréal
Centre d'innovation sociale - Institut (various),Accompagnement social / formation,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Organisme,TRUE,Fédéral,Québec,Canada,https://socialinnovation.ca/,Social / multi,Contact via site,"Formations, accompagnement projets sociaux",Entrepreneurs sociaux,See site,Réseau national,,,,Canada
Centre québécois d’innovation en biotechnologie (CQIB),Incubation – laboratoires biotech,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Public (Ville de Laval / INRS),FALSE,,,,citebiotech.com,Biotechnologies et santé,Sélection sur dossier (accès en incubé),"Location de laboratoires L2 sécurisées, parc d’équipements scientifiques, encadrement en affaires[10]",Startups et PME biotech,"1333, Bd Chomedey, Laval QC<br>450-978-5959 poste 5066<br[email protected]",Initiatives pré-incubation et « soft landing » pour entreprises biotech,,,,Laval (Québec)
COPL – INRS (ALLS),Accès équipements lasers de pointe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Public (INRS/ULaval),FALSE,,,,coplweb.ca,"Optique, photonique et laser",Appel à propositions pour temps de faisceau,Accès au ALLS (laser femtoseconde 750TW) et autres laboratoires photoniques[15],Chercheurs académiques et industriels,"Pavillon d’Optique-Photonique, ULaval, Québec QC<br>418-656-2454<br[email protected]",Centre COPL (ULaval) gère accès aux installations lasers (ALLS) pour R&D,,,,Québec (INRS Varennes)
CQIB - Centre québécois d'innovation en biotechnologie,Incubateur,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL,TRUE,,Laval,Laval,https://cqib.org,Biotechnologie,Sélection par projet,"Laboratoires, mentorat, financement",Startups biotech,info@cqib.org,Expertise en sciences de la vie,,,,Laval
Creative Destruction Lab (CDL) - Montréal,Accélérateur (mentorat intensif),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Programme universitaire,FALSE,,Montréal (occasionnel),Montréal,https://creativedestructionlab.com/locations/montreal/,"AI, deeptech",Candidature sélective,"Mentorat par investisseurs & entrepreneurs, sessions périodiques",Startups deeptech early-stage,See site,Très axé IA / deeptech,,,,Montréal
District 3 Innovation Center,Incubation & Accélération,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL,TRUE,,Montréal (Concordia),Montréal (Concordia),https://www.district3.co,"Technologie, santé, innovation sociale","Postuler via site, projet innovant","Coaching, mentorat, accès lab, financement, réseau",Startups early-stage,hello@district3.co,Plus de 1300 startups accompagnées,,,,Montréal (Concordia)
DMZ Toronto,Accélérateur,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accélérateur universitaire,FALSE,Canada,Toronto,Toronto,https://dmz.ryerson.ca,Technologie,Programme intensif de 13 semaines,"Mentorat, financement, réseautage, espace de travail",Startups technologiques,info@dmz.ryerson.ca,Plus de 300 startups accompagnées,,,,Canada
Dobson Centre for Entrepreneurship (McGill),Incubation / Accélération / Formation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Université (McGill),FALSE,,Montréal,Montréal,https://www.mcgill.ca/dobson/,Multi,Programmes campus; application selon programme,"Coaching, programmes d'incubation, mentorat, événements","Étudiants, alumni, startups",dobson.mgmt@mcgill.ca,"Programmes: Ideation, Validation, Acceleration",,,,Montréal
échofab (Fab Lab du QI de Montréal),"Fab lab ouvert, soutien au prototypage",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL (communautaire),TRUE,,,,www.echofab.quebec,"Fabrication numérique, innovation sociale",Adhésion/formation en fablab,"Accès à ateliers de découpe laser, impression 3D, CNC, ateliers d’initiation et de prototypage, formations[2]","Entrepreneurs, étudiants, artistes","55 rue de Louvain Ouest, Montréal<br>514-948-6644<br[email protected]",Organisme de Communautique (centre de ressources numériques),,,,Montréal (District Central)
Ecofuel,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fonds d'investissement spécialisé,FALSE,,,Montréal,https://www.ecofuel.ca,,Investissements en technologies propres,"Financement, accompagnement",Startups en cleantech,Non spécifié,23 investissements,,,,Montréal
École des Entrepreneurs du Québec,Formation / Accompagnement,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Organisme provincial,FALSE,,Québec (régional),Québec (Hors Montréal),https://www.entrepreneuriat.qc.ca/,Multi,Inscription en ligne,"Formations, parcours, mentorat, programmes pour femmes",Entrepreneurs Québec,See site,Large offre de formation province-wide,,,,Québec (Hors Montréal)
EDC – Trade Accelerator Program (TAP),Export / Mentorat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Agence publique (EDC),FALSE,Fédéral,Canada (national),Canada,https://www.edc.ca/en/campaign/trade-accelerator-program.html,Multi,Inscription en ligne,"Workshops, mentorat export, réseau",PME prêtes à exporter,Voir site,Modules structurés,,,,Canada
Espace entrepreneuriat collectif,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL,TRUE,,Québec,Québec,https://espacecollectif.ca,Économie sociale,Programme d'accompagnement,"Mentorat, ateliers, réseautage",Entrepreneurs collectifs,info@espacecollectif.ca,Soutien à projets collectifs,,,,Québec
Esplanade Québec,Incubateur impact social,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL,TRUE,,Montréal,Montréal,https://esplanade.quebec,Innovation sociale,Programme Collision ou Transformation,"Mentorat, ateliers, financement",Entrepreneurs sociaux,info@esplanade.quebec,Impact social et environnemental,,,,Montréal
Execution Labs,Incubation + Investissement,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Privé,FALSE,,Montréal,Montréal,http://www.executionlabs.com,Jeux vidéo,Sélection par portfolio,"Financement, mentorat, réseau industrie gaming",Studios de jeux,info@executionlabs.com,Fondé en 2012,,,,Montréal
Femmessor (Québec),Mentorat / Financement / Formation (femmes),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Provincial,Québec (provincial),Québec (Hors Montréal),https://femmessor.com/,Multi,"Candidature en ligne, programmes régionaux","Mentorat, financement pour femmes entrepreneures, ateliers",Femmes entrepreneures au Québec,See site,"Réseau régional, services divers",,,,Québec (Hors Montréal)
Fondation de l'entrepreneurship - Québec,Ressources / Programmes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fondation,TRUE,,Québec (provincial),Québec (Hors Montréal),https://www.entrepreneurshipfoundation.ca/,Multi,Programmes & ressources,"Formations, programmes scolaires, mentorship",Jeunes entrepreneurs & leaders,See site,Orientation éducative,,,,Québec (Hors Montréal)
Founder Institute (global) - Montréal chapter,Incubation / Programme structuré,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accélérateur international (privé),FALSE,,Montréal (UdeM),Montréal,https://fi.co/,Multi,Application en ligne; éligibilité selon stage,"Programme de 4 mois, mentorat hebdomadaire, communauté",Fonders en pré-seed,See site,Programme standard global,,,,Montréal
Founder Institute (Montréal chapter),Incubation / Programme structuré,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accélérateur international (privé),FALSE,,Montréal,Montréal,https://fi.co/,Multi,Application en ligne,"Programme pre-seed, mentorat hebdo, réseaux",Fondateurs en phase d'idée/pré-seed,Voir site,Programme global adapté localement,,,,Montréal
FounderFuel,Incubateur,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Privé,FALSE,,Montréal,Montréal,https://www.founderfuel.com,,"Programme intensif de 4 mois, 9% d'équité, financement de 50 000$","Mentorat, espace, soutien, connexions",Fondateurs de startups technologiques,Non spécifié,"95 investissements, 13 sorties",,,,Montréal
Futurpreneur Canada,Mentorat / Formation / Lancement,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL / National,TRUE,Fédéral,Canada (national),Canada,https://futurpreneur.ca/en/,Multi‑sectoriel,Candidature en ligne; 18-39 ans; plan d'affaires,"Mentorat 1:1, ressources business, prêts de démarrage",Jeunes entrepreneurs (18-39),info@futurpreneur.ca,Programmes pour Autochtones & entrepreneurs noirs; bourses,,,,Canada
Garage&co,Accélérateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accélérateur hardtech,FALSE,,,Montréal,https://garageincubation.com,,Programme d'accompagnement pour projets technologiques,"Mentorat, expertise, réseau",Startups en hardtech,info@garageincubation.com,Focus sur innovation durable,,,,Montréal
Groupe 3737,Accélérateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accélérateur communautaire,FALSE,,,Montréal,https://groupe3737.com,,Programmes pour entrepreneurs issus de la diversité,"Formation, mentorat, financement",Entrepreneurs issus de la diversité ethnoculturelle,contact@groupe3737.com,Impact économique et social,,,,Montréal
Hacking Health Accelerator,Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Programme de croissance,FALSE,,,Montréal,https://hackinghealth.ca,,Programme pour entreprises en santé numérique,"Accélération, mentorat",Startups en santé numérique,Non spécifié,"9 investissements, 1 sortie",,,,Montréal
HEC Montréal - La base entrepreneuriale,Incubation / Accélération / Programmes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Université (HEC Montréal),FALSE,,Montréal (McGill U),Montréal,https://labase.hec.ca/,Tech / Impact / Multi,Candidature selon programme,"Coaching, accélération, mentorat, réseaux","Étudiants, alumni, startups",Voir site,Hub d'innovation universitaire,,,,Montréal
Hub-IA (Innovation en IA),Coworking / bureaux flexibles,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Privé,FALSE,,,,hub-ia.ca,"Intelligence artificielle, tech","Location flexible (poste/bureau, 24/7)","Bureaux partagés ou privés, Wi-Fi, salles de réunion, accès GPU/serveurs pour IA[6], événements et conférences IA",Startups & chercheurs en IA,(voir site web pour contact),Ciblé IA – cartes GPU et experts en data science sur place[6],,,,Montréal (centre-ville)
Innovation Canada (Portail),Ressources / Orientation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fédéral (ISDE),FALSE,Fédéral,Canada (national),Canada,https://ised-isde.canada.ca/site/innovation-canada/en/innovation-canada,Multi,Accès libre,"Recherche de programmes, diagnostics, guides","Entrepreneurs, innovateurs",site web,Outil central pour retrouver services fédéraux,,,,Canada
La base entrepreneuriale HEC Montréal,Accélérateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accélérateur universitaire,FALSE,,,Montréal,https://labase.hec.ca,,Accompagnement technologique et d’impact,"Mentorat, ateliers, réseautage",Étudiants et diplômés HEC Montréal,labase.info@hec.ca,Hub d’innovation universitaire,,,,Montréal
La Chambre de commerce du Montréal métropolitain (CCMM),Réseautage / Formation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chambre de commerce,FALSE,,Montréal / Québec,Montréal,https://www.ccmm.ca/,Multi,Adhésion / inscription,"Formations, ateliers, missions commerciales",Entreprises locales,Voir site,Accès réseautage,,,,Montréal
La Piscine (Montréal),Incubateur / Accélérateur (créatif),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Incubateur privé/OBNL,FALSE,,Montréal,Montréal,https://www.lapiscine.co/,Culture & créatif,Candidature en ligne,"Coaching, espace, bourses, réseautage",Entrepreneurs créatifs,plouf@lapiscine.co,Programmes pour internationalisation,,,,Montréal
La shop,Incubateur,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL,TRUE,,Québec,Québec,https://lashop.ca,Entrepreneuriat,Candidature en ligne,"Mentorat, espace de travail",Entrepreneurs,info@lashop.ca,Communauté entrepreneuriale,,,,Québec
Le Camp,Incubateur & Accélérateur,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL,TRUE,,Québec,Québec,https://lecampquebec.com,"Technologie, SaaS",Candidature en ligne,"Coaching, mentorat, réseautage, internationalisation",Startups technologiques,info@lecampquebec.com,Soutenu par Québec International,,,,Québec
Le Germoir,Incubateur,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OBNL,TRUE,,Québec,Québec,https://legermoir.ca,Entrepreneuriat collectif,Programme d'accompagnement,"Mentorat, ateliers, réseautage",Entrepreneurs collectifs,info@legermoir.ca,Soutien à l'économie sociale,,,,Québec
Les Affûtés (Makerspace Montréal),"Atelier de fabrication partagé, coworking",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Entreprise (B Corp, coop.)",FALSE,,,,www.les-affutes.ca,"Bricolage, artisanat, design",Achat d’heures d’atelier,"Location d’atelier (bois, couture, métal, vélo, etc.), coaching sur projet, cours et activités de formation[3]","Grand public, makers, créatifs","Mile-Ex : 6540 Rue Waverly, Montréal<br>Village : 1385 Rue Ontario E, Montréal<br>(514) 750-7252","2 sites; adhésion horaire (ex. forfaits 10h, 30h…)",,,,"Montréal (Mile-Ex, Village)"
LESPACEMAKER,Atelier communautaire multidisciplinaire,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL (coopératif),TRUE,,,,lespacemaker.com (EN/FR),"Ateliers bois, métal, textile, électronique",Adhésion mensuelle (abonnement),"Accès aux ateliers (bois, métal, forge, sérigraphie, vélo, 3D, laser, électronique, céramique, cuir, couture, recyclage)[4]","Public large (bricoleurs, designers)",(Pas de contact direct cité),"Forte composante socio-écologique; événements ouverts (réparathons, visites)",,,,Montréal
MaRS Discovery District,Incubateur / Accélérateur / Ressources,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Incubateur / OBNL,TRUE,Fédéral,Canada (national),Canada,https://www.marsdd.com/,"Tech, santé, cleantech, fintech",Adhésion / candidature selon programme,"Mentorat, recherche de marché, accès investisseurs, programmes d'accélération",Startups tech & scaleups,See site,Programmes sectoriels; ressources pour commercialisation,,,,Canada
Millénium Québecor (Université de Montréal),Incubation / Coaching,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Université (UdeM),FALSE,,Montréal (HEC),Montréal,https://millenium.umontreal.ca/,Multi,Inscription aux programmes universitaires,"Coaching, sensibilisation, soutien à la création",Étudiants & chercheurs,Voir site,Programme gratuit pour étudiants,,,,Montréal
MT Lab,Incubateur & Accélérateur,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OBNL,TRUE,,Montréal,Montréal,https://mtlab.ca,"Tourisme, culture, divertissement",Candidature en ligne,"Mentorat, tests en marché, réseautage",Startups tourisme et culture,info@mtlab.ca,Premier incubateur en tourisme au Québec,,,,Montréal
NextAI (NEXT Canada),Accélérateur / Formation AI,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Programme national (NEXT Canada),FALSE,Fédéral,Canada,Canada,https://www.nextcanada.com/next-ai/,IA / Tech,Sélection par candidature,"Formation, mentorat, financement initial, réseau",Founders IA,See site,Part of NEXT Canada suite,,,,Canada
NRC IRAP,Conseil technique / R&D,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fédéral (NRC),FALSE,Fédéral,Canada (national),Canada,https://nrc.canada.ca/en/support-technology-innovation/about-nrc-industrial-research-assistance-program,Tech / Innovation,Demande via portails régionaux,"Conseils en innovation, financement R&D, experts",PME innovantes,Voir site NRC IRAP,Axé sur R&D technologique,,,,Canada
PME MTL - Services d'accompagnement,Conseil / Accompagnement local,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Organisme municipal / OBNL,TRUE,Municipal,Montréal (HEC Montréal),Montréal,https://pmemtl.com/,Multi,Contact via site,"Coaching, formation, réseautage, financement local",Entrepreneurs de l'île de Montréal,Voir site,Programmes pour femmes et quartiers,,,,Montréal
ProMontreal Entrepreneurs (PME),Incubateur,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fonds de capital de démarrage,FALSE,,,Montréal,https://www.promontrealentrepreneurs.org,,Financement de démarrage,Soutien aux nouvelles entreprises,Entrepreneurs montréalais,Non spécifié,"40 investissements, 2 sorties",,,,Montréal
République Entrepreneurs (incubateur social),Incubateur / Accompagnement,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Incubateur social / OBNL,TRUE,,Montréal (UQAM),Montréal,https://www.republiqueentrepreneurs.org/,Social / commerce,Candidature,"Accompagnement, formation, espace",Entrepreneurs sociaux,See site,Peut être pertinent pour dimension sociale du projet,,,,Montréal
Réseau Mentorat (Québec),Mentorat,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Réseau,TRUE,,Québec (QC),Québec (Hors Montréal),https://www.reseaumentorat.org/,Multi,Inscription en ligne; jumelage,"Mentorat 1:1, group mentoring",Entrepreneurs,Voir site,Réseau provincial,,,,Québec (Hors Montréal)
SADC / CAE (Réseau régional),Accompagnement local / microcrédit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Réseau régional (SADC/CAE),FALSE,,Québec,Québec (Hors Montréal),https://www.sadc.ca/,Multi,Contact local,"Coaching, microcrédit, accompagnement territorial",Entrepreneurs ruraux,Voir site,Ressources régionales,,,,Québec (Hors Montréal)
SheEO / Coralus (anciennement SheEO),Mentorat / Financement alternatif / Réseau,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Réseau / OBNL,FALSE,Fédéral,National,Canada,https://coralus.sheeo.world/,Multi (femmes entrepreneures),Application en ligne pour venture & participation des activatrices,"Microloans, mentorship, réseau, support non-dilutif",Women-led ventures,See site,Modèle de financement participatif par activatrices,,,,Canada
